"objectid","sigun_nm","sigun_cd","crtr_yr","flod_dngr_idx","flod_dng_rnk","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
32,가평군,"41820","2017",0.8450264600,2,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
31,양평군,"41830","2017",0.8709458500,1,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
113,수원시,"41110","2019",0.1933776600,24,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
112,성남시,"41130","2019",0.2009770700,23,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
110,의정부시,"41150","2019",0.2558013300,21,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
116,안양시,"41170","2019",0.1773646400,27,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
119,부천시,"41190","2019",0.1092414200,30,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
114,광명시,"41210","2019",0.1874067000,25,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
104,평택시,"41220","2019",0.5493282700,14,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
109,동두천시,"41250","2019",0.2738499100,19,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
244,안산시,"41270","2019",0.2676075500,20,system,2025-07-03 13:50:31.214,system,2025-07-03 13:50:31.214
94,고양시,"41280","2019",0.6600624200,4,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
111,과천시,"41290","2019",0.2476591100,22,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
117,구리시,"41310","2019",0.1737006400,28,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
103,남양주시,"41360","2019",0.5532636700,13,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
115,오산시,"41370","2019",0.1817071500,26,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
107,시흥시,"41390","2019",0.3450943100,17,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
120,군포시,"41410","2019",0.0692088500,31,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
118,의왕시,"41430","2019",0.1533450900,29,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
108,하남시,"41450","2019",0.3446872000,18,system,2025-07-02 20:00:45.701,system,2025-07-02 20:00:45.701
