"crtr_yr","admdst_se_cd","admdst_cd","admdst_nm","ldsld_dngr_grd1_area","ldsld_dngr_grd2_area","ldsld_dngr_grd3_area","ldsld_dngr_grd4_area","ldsld_dngr_grd5_area","ldsld_dngr_grd1_area_rt","ldsld_dngr_grd2_area_rt","ldsld_dngr_grd3_area_rt","ldsld_dngr_grd4_area_rt","ldsld_dngr_grd5_area_rt","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2023",ADM004,"31022610",도촌동,235800.000000000,752300.000000000,1206100.000000000,2147700.000000000,1058600.000000000,0.04,0.14,0.22,0.40,0.20,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31023510",분당동,73700.000000000,260400.000000000,428000.000000000,654500.000000000,421000.000000000,0.04,0.14,0.23,0.36,0.23,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31023580",서현1동,154400.000000000,590800.000000000,931300.000000000,1473100.000000000,1468900.000000000,0.03,0.13,0.20,0.32,0.32,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31051671",중4동,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.00,0.00,0.00,0.00,0.00,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31023630",야탑3동,234500.000000000,418000.000000000,546500.000000000,962800.000000000,768000.000000000,0.08,0.14,0.19,0.33,0.26,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31070110",팽성읍,24300.000000000,80100.000000000,183300.000000000,316300.000000000,14888900.000000000,0.00,0.01,0.01,0.02,0.96,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31070120",안중읍,55800.000000000,236900.000000000,556000.000000000,826100.000000000,1565300.000000000,0.02,0.07,0.17,0.25,0.48,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31070130",포승읍,145600.000000000,414600.000000000,856400.000000000,1632700.000000000,5353200.000000000,0.02,0.05,0.10,0.19,0.64,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31070140",청북읍,181900.000000000,693500.000000000,1432400.000000000,1448200.000000000,1507300.000000000,0.03,0.13,0.27,0.28,0.29,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31023670",구미동,41900.000000000,209600.000000000,314500.000000000,674300.000000000,313200.000000000,0.03,0.13,0.20,0.43,0.20,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
"2023",ADM004,"31023680",운중동,660800.000000000,2011600.000000000,2544900.000000000,3586500.000000000,2303000.000000000,0.06,0.18,0.23,0.32,0.21,system,2025-06-11 11:36:59.301,system,2025-06-11 11:36:59.301
