"cmpttn_yr","admdst_cd","admdst_se_cd","admdst_nm","bldg_elpwr_use_cbn_ehqty","bldg_gas_use_cbn_ehqty","bldg_hetng_use_cbn_ehqty","trsp_lv6_cbn_ehqty","sum_ehqty","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2014","4180000000",ADM002,연천군,154878.1600000000,14028.1300000000,0.0000000000,0.0000000000,168906.2900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4182000000",ADM002,가평군,237514.4200000000,11972.2200000000,0.0000000000,0.0000000000,249486.6400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2014","4183000000",ADM002,양평군,343787.8500000000,18724.3400000000,0.0000000000,0.0000000000,362512.1900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4111000000",ADM002,수원시,2277074.4000000000,997954.3300000000,141172.2100000000,0.0000000000,3416200.9400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4113000000",ADM002,성남시,1993428.3800000000,729291.9000000000,193228.9900000000,0.0000000000,2915949.2700000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4115000000",ADM002,의정부시,602489.6100000000,389075.5000000000,4653.9200000000,0.0000000000,996219.0300000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4117000000",ADM002,안양시,1057624.2100000000,370687.0600000000,67032.1800000000,0.0000000000,1495343.4500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4119000000",ADM002,부천시,1826614.6000000000,658386.1300000000,75604.4600000000,0.0000000000,2560605.1900000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4121000000",ADM002,광명시,511740.0300000000,331894.6100000000,11633.0200000000,0.0000000000,855267.6600000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4122000000",ADM002,평택시,2783111.3600000000,836638.9100000000,4091.0100000000,0.0000000000,3623841.2800000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4125000000",ADM002,동두천시,243848.0100000000,114872.8300000000,0.0000000000,0.0000000000,358720.8400000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4127000000",ADM002,안산시,3648396.7100000000,1101455.5900000000,50800.8600000000,0.0000000000,4800653.1600000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
"2015","4128000000",ADM002,고양시,1855611.3000000000,503989.4400000000,222823.1100000000,0.0000000000,2582423.8500000000,system,2025-06-11 17:19:43.731,system,2025-06-11 17:19:43.731
